Visa,Stream,25% of visas finalised,50% of visas finalised,75% of visas finalised,90% of visas finalised,Additional information,Unnamed: 7
188 - Business Innovation & Investment (Provisional) (subclass 188),Business Innovation Extension,7 Months,9 Months,11 Months,14 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
188 - Business Innovation & Investment (Provisional) (subclass 188),Significant Investor Extension,Processing times are not available,Processing times are not available,Processing times are not available,Processing times are not available,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
189 - Skilled Independent (subclass 189),Points-Tested,82 Days,83 Days,3 Months,3 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
189 - Skilled Independent (subclass 189),New Zealand,18 Months,19 Months,21 Months,24 Months,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
190 - Skilled Nominated (subclass 190),,87 Days,7 Months,18 Months,36 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
300 - Prospective Marriage (subclass 300),,5 Months,9 Months,19 Months,35 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
309 - Partner (Provisional) (subclass 309),,4 Months,8 Months,15 Months,30 Months,The processing time for a Permanent Partner visa (subclass 801 or 100) starts from the date of eligibility. This is 2 years after the combined subclass 820/801 or 309/100 visa application was lodged. We are processing some older and more complex Partner visa applications. These cases can take longer to finalise and impact our published processing times. ​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
400 - Temporary Work (short stay) (subclass 400),,7 Days,12 Days,18 Days,38 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Government Agreement,8 Days,18 Days,31 Days,57 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Foreign Government Agency,9 Days,24 Days,3 Months,17 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Domestic Worker (Diplomatic or Consular),90 Days,6 Months,17 Months,24 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Privileges and Immunities,8 Days,19 Days,28 Days,74 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
403 - Temporary Work (International Relations) (subclass 403),Pacific Australia Labour Mobility Scheme,2 Days,7 Days,14 Days,22 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
407 - Training visa (subclass 407),,44 Days,7 Months,12 Months,21 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Entertainment Activities,2 Days,5 Days,8 Days,13 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Research Activities,17 Days,25 Days,31 Days,37 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Religious Work,6 Days,19 Days,55 Days,3 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Special Programs,4 Days,13 Days,18 Days,30 Days,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Invited for Other Social and Cultural Activity,2 Days,8 Days,22 Days,28 Days,​,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
408 - Temporary Work Activity visa (subclass 408),Australian Government Endorsed Events,8 Days,3 Months,7 Months,11 Months,,
undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
